number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
3001,SpeTool,W03001,,SpeTool W03001 1/4"" UP CUT,end,0.25,0,1,0,0,1,1.5,,0,,,,24,72,18000,0.25,,0,40,72,18000
3002,SpeTool,W03002,,SpeTool W03002 1/8"" UP CUT,end,0.125,0,0.75,0,0,1,1,,0,,,,12,36,18000,0.125,,0,40,36,18000
3003,SpeTool,W03003,,SpeTool W03003 1/4"" UP CUT,end,0.25,0,1.5,0,0,1,2,,0,,,,24,72,18000,0.25,,0,40,72,18000
3004,SpeTool,W03004,,SpeTool W03004 1/4"" UP CUT,end,0.25,0,0.5,0,0,1,1,,0,,,,24,72,18000,0.25,,0,40,72,18000
3005,SpeTool,W03005,,SpeTool W03005 1/8"" UP CUT,end,0.125,0,0.5,0,0,1,1,,0,,,,12,36,18000,0.125,,0,40,36,18000
3006,SpeTool,W03006,,SpeTool W03006 1/4"" UP CUT,end,0.25,0,1,0,0,1,2,,0,,,,24,72,18000,0.25,,0,40,72,18000
3010,SpeTool,W03010,,SpeTool W03010 1/8"" UP CUT,end,0.125,0,0.75,0,0,1,1,,0,,,,12,36,18000,0.125,,0,40,36,18000
3011,SpeTool,W03011,,SpeTool W03011 1/16"" UP CUT,end,0.0625,0,0.1875,0,0,1,1,,0,,,,3.3,10,18000,0.0625,,0,40,10,18000
101,SpeTool,A01001,,SpeTool A01001 1/2"" UP CUT,end,0.5,0,2,0,0,3,2,,0,,,,143.3,430,12000,0.5,,0,10,430,12000
201,SpeTool,A02001,,SpeTool A02001 1/4"" UP CUT,end,0.25,0,0.75,0,0,2,1.5,,0,,,,46.7,140,12000,0.25,,0,10,140,12000
202,SpeTool,A02002,,SpeTool A02002 1/4"" UP CUT,end,0.25,0,0.75,0,0,3,1.5,,0,,,,70,210,12000,0.25,,0,10,210,12000
205,SpeTool,A02005,,SpeTool A02005 1/4"" UP CUT,end,0.25,0,1.5,0,0,3,2,,0,,,,70,210,12000,0.25,,0,10,210,12000
209,SpeTool,A02009,,SpeTool A02009 1/4"" UP CUT,end,0.25,0,1,0,0,3,2,,0,,,,70,210,12000,0.25,,0,10,210,12000
301,SpeTool,A03001,,SpeTool A03001 1/16"" UP CUT,end,0.0625,0,0.1875,0,0,2,0.8,,0,,,,16.7,50,12000,0.0625,,0,10.1,50,12000
302,SpeTool,A03002,,SpeTool A03002 1/8"" UP CUT,end,0.125,0,0.4375,0,0,2,0.8,,0,,,,23.3,70,12000,0.125,,0,10.1,70,12000
303,SpeTool,A03003,,SpeTool A03003 1/16"" UP CUT,end,0.0625,0,0.1875,0,0,3,0.8,,0,,,,26.7,80,12000,0.0625,,0,10,80,12000
304,SpeTool,A03004,,SpeTool A03004 1/8"" UP CUT,end,0.125,0,0.4375,0,0,3,0.8,,0,,,,33.3,100,12000,0.125,,0,10,100,12000
305,SpeTool,A03005,,SpeTool A03005 1/32"" UP CUT,end,0.03125,0,0.078125,0,0,3,0.8,,0,,,,13.3,40,12000,0.03125,,0,9.9,40,12000
306,SpeTool,A03006,,SpeTool A03006 1/32"" UP CUT,end,0.03125,0,0.078125,0,0,2,0.8,,0,,,,10,30,12000,0.03125,,0,9.9,30,12000
401,SpeTool,A04001,,SpeTool A04001 3/8"" UP CUT,end,0.375,0,1.5,0,0,3,0.8,,0,,,,106.7,320,12000,0.375,,0,10,320,12000
502,SpeTool,A05002,,SpeTool A05002 5/16"" UP CUT,end,0.3125,0,1,0,0,3,2,,0,,,,90,270,12000,0.3125,,0,10,270,12000
503,SpeTool,A05003,,SpeTool A05003 5/16"" UP CUT,end,0.3125,0,1.625,0,0,3,2,,0,,,,90,270,12000,0.3125,,0,10,270,12000
203,spetool,A02003,,SpeTool A02003 5/16"" UP CUT,end,0.3125,0,0.5,0,0,2,1.5,,0,,,,90,270,12000,0.3125,,0,10,270,12000
204,spetool,A02004,,SpeTool A02004 5/16"" UP CUT,end,0.3125,0,0.5,0,0,2,1.5,,0,,,,90,270,12000,0.3125,,0,10,270,12000
207,spetool,A02007,,SpeTool A02007 5/16"" UP CUT,end,0.3125,0,0.5,0,0,2,1.5,,0,,,,90,270,12000,0.3125,,0,10,270,12000
501,SpeTool,A05001,,SpeTool A05001 5/16"" UP CUT,end,0.3125,0,1,0,0,3,2,,0,,,,90,270,12000,0.3125,,0,10,270,12000
3012,SpeTool,W03012,,SpeTool W03012 1/16"" UP CUT,end,0.0625,0,1,0,0,1,2,,0,,,,3.3,10,18000,0.0625,,0,40,10,18000
3014,SpeTool,W03014,,SpeTool W03014 1/32"" UP CUT,end,0.0312,0,1,0,0,1,2,,0,,,,1,3,18000,0.0625,,0,40,3,18000
1501,Spetool,A01501,,SpeTool A01501 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,150,480,16000,1.5,,0,25,480,16000
