number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
6001,SpeTool,W06001,,SpeTool W06001 0.5"",vee,0.5,0.25,0.433013,0,60,2,1.5,,0,,,,24,72,18000,0.5,,0,6.25,72,18000
6002,SpeTool,W06002,,SpeTool W06002 0.5"",vee,0.5,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.5,,0,6.25,72,18000
6006,SpeTool,W06006,,SpeTool W06006 0.25"",vee,0.25,0.125,0.2165,0,60,4,1.5,,0,,,,48,144,18000,0.25,,0,10,144,18000
6007,SpeTool,W06007,,SpeTool W06007 0.25"",vee,0.25,0.125,0.125,0,90,4,1.5,,0,,,,48,144,18000,0.25,,0,10,144,18000
6008,SpeTool,W06008,,SpeTool W06008 0.25"",vee,0.25,0.125,0.69488,0,20,1,1.5,,0,,,,36,108,18000,0.005,,0,0.4,108,18000
6009,SpeTool,W06009,,SpeTool W06009 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,36,108,18000,0.005,,0,0.4,108,18000
6010,SpeTool,W06010,,SpeTool W06010 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,36,108,18000,0.015,,0,1.2,108,18000
6012,SpeTool,W06012,,SpeTool W06012 0.375"",vee,0.375,0.1875,0.32475,0,60,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6013,SpeTool,W06013,,SpeTool W06013 0.375"",vee,0.375,0.1875,0.32475,0,90,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6014,SpeTool,W06014,,SpeTool W06014 0.5"",vee,0.5,0.25,0.6,0,45,2,1.5,,0,,,,24,72,18000,0.5,,0,6.25,72,18000
6016,SpeTool,W06016,,SpeTool W06016 0.685"",vee,0.685,0.3425,0.32813,0,90,1,1.5,,0,,,,20,40,15000,0.25,,0,6.2,40,18000
6018,SpeTool,W06018,,SpeTool W06018 0.8125"",vee,0.8125,0.40625,0.98438,0,45,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
6019,SpeTool,W06019,,SpeTool W06019 1.0625"",vee,1.0625,0.53125,0.92188,0,60,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
6003,SpeTool,W06003,,SpeTool W06003 0.75"",vee,0.75,0.25,0.25,0,60,2,1.5,,0,,,,24,72,18000,0.375,,0,6.2,72,18000
6004,SpeTool,W06004,,SpeTool W06004 0.75"",vee,0.75,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.375,,0,6.2,72,18000
6005,SpeTool,W06005,,SpeTool W06005 0.375"",vee,0.375,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.188,,0,6.2,72,18000
6011,SpeTool,W06011,,SpeTool W06011 0.375"",vee,0.375,0.25,0.25,0,60,2,1.5,,0,,,,48,144,18000,0.1875,,0,6.2,144,18000
6017,SpeTool,W06017,,SpeTool W06017 0.25"",vee,0.25,0.25,0.25,0,45,2,1.5,,0,,,,48,144,18000,0.125,,0,10,144,18000
6021,SpeTool,W06021,,SpeTool W06021 0.25"",vee,0.25,0.25,0.25,0,30,2,1.5,,0,,,,48,144,18000,0.125,,0,10,144,18000
