number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
10,SpeTool,M01001,,SpeTool M01001 0.5"",end,0.5,0,1.125,0,0,4,2,,0,,,,43.3333,130,18000,0.5,,0,10,130,18000
10,SpeTool,M02001,,SpeTool M02001 0.25"",ball,0.25,0.125,1.125,0,0,2,2,,0,,,,10,30,12000,0.25,,0,10,30,12000
10,SpeTool,M02002,,SpeTool M02002 0.25"",ball,0.25,0.125,0.75,0,0,2,1.5,,0,,,,10,30,12000,0.25,,0,10,30,12000
10,SpeTool,M02003,,SpeTool M02003 0.25"",end,0.25,0,0.75,0,0,2,1.5,,0,,,,10,30,12000,0.25,,0,10,30,12000
10,SpeTool,M02004,,SpeTool M02004 0.25"",end,0.25,0,1.125,0,0,2,2,,0,,,,10,30,12000,0.25,,0,10,30,12000
10,SpeTool,M02005,,SpeTool M02005 0.25"",ball,0.25,0.125,1.125,0,0,4,2,,0,,,,21.6667,65,18000,0.25,,0,10,65,18000
10,SpeTool,M02006,,SpeTool M02006 0.25"",end,0.25,0,0.75,0,0,4,1.5,,0,,,,21.6667,65,18000,0.25,,0,10,65,18000
10,SpeTool,M02007,,SpeTool M02007 0.25"",end,0.25,0,1.125,0,0,4,2,,0,,,,21.6667,65,18000,0.25,,0,10,65,18000
10,SpeTool,M02008,,SpeTool M02008 0.125"",ball,0.125,0.0625,0.5,0,0,2,1,,0,,,,5,15,12000,0.125,,0,10,15,12000
10,SpeTool,M03001,,SpeTool M03001 0.125"",ball,0.125,0.0625,0.5,0,0,2,1,,0,,,,5,15,12000,0.125,,0,10,15,12000
10,SpeTool,M03003,,SpeTool M03003 0.125"",ball,0.125,0.0625,0.5,0,0,4,1,,0,,,,10.667,32,18000,0.125,,0,10,32,18000
10,SpeTool,M03004,,SpeTool M03004 0.0625"",ball,0.0625,0.03125,0.1875,0,0,2,1,,0,,,,2.66667,8,12000,0.0625,,0,10,8,12000
10,SpeTool,M03005,,SpeTool M03005 0.03125"",ball,0.03125,0.015625,0.078125,0,0,2,1,,0,,,,1.33333,4,12000,0.03125,,0,10,4,12000
10,SpeTool,M03006,,SpeTool M03006 0.0625"",end,0.0625,0,0.1875,0,0,2,1,,0,,,,2.66667,8,12000,0.0625,,0,10,8,12000
10,SpeTool,M03007,,SpeTool M03007 0.03125"",end,0.03125,0,0.078125,0,0,2,1,,0,,,,1.33333,4,12000,0.03125,,0,10,4,12000
10,SpeTool,M03008,,SpeTool M03008 0.125"",end,0.125,0,0.5,0,0,2,1,,0,,,,5,15,12000,0.125,,0,10,15,12000
10,SpeTool,M03009,,SpeTool M03009 0.0625"",end,0.0625,0,0.1875,0,0,4,1,,0,,,,5,15,18000,0.0625,,0,10,15,18000
10,SpeTool,M03010,,SpeTool M03010 0.03125"",end,0.03125,0,0.078125,0,0,4,1,,0,,,,2.33333,7,18000,0.03125,,0,10,7,18000
10,SpeTool,M03011,,SpeTool M03011 0.125"",end,0.125,0,0.5,0,0,4,1,,0,,,,10.6667,32,18000,0.125,,0,10,32,18000
10,SpeTool,M04001,,SpeTool M04001 0.0375"",ball,0.375,0.1875,1.125,0,0,2,2,,0,,,,16.6667,50,12000,0.375,,0,10,50,12000
10,SpeTool,M05003,,SpeTool M05003 0.3125"",end,0.3125,0,1.125,0,0,2,2,,0,,,,13.333,40,12000,0.3125,,0,10,40,12000
4002,SpeTool,M04002,,SpeTool M04002 0.375"",end,0.375,0,1.125,0,0,2,2,,0,,,,16.7,50,12000,0.375,,0,10,50,12000
5002,SpeTool,M05002,,SpeTool M05002 0.3125"",end,0.3125,0,1.125,0,0,2,2,,0,,,,13.3,40,12000,0.3125,,0,10,40,12000
5004,SpeTool,M05004,,SpeTool M05004 0.3125"",end,0.3125,0,1.125,0,0,2,2,,0,,,,26.7,80,12000,0.3125,,0,10,80,12000
10,SpeTool,M05001,,SpeTool M05001 0.3125"",ball,0.3125,0.15625,0.5,0,0,2,1,,0,,,,13,40,12000,0.3125,,0,10,40,12000
5005,SpeTool,M05005,,SpeTool M05005 0.3125"",ball,0.3125,0.15625,0.5,0,0,2,1,,0,,,,26.7,80,18000,0.3125,,0,10,80,18000
