number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
2502,spetool,W02502,,SpeTool W02502 4mm Compression,end,4,0,12.7,0,0,2,38.1,,1,,,,800,2400,18000,4,,0,40,2400,18000
2503,spetool,W02503,,SpeTool W02503 4mm Compression,end,4,0,12.7,0,0,2,38.1,,1,,,,800,2400,18000,4,,0,40,2400,18000
4504,spetool,W04504,,SpeTool W04504 4mm UP CUT,end,4,0,12.7,0,0,2,38.1,,1,,,,1000,3000,18000,4,,0,40,3000,18000
4503,spetool,W04503,,SpeTool W04503 4mm DOWN CUT,end,4,0,12.7,0,0,2,38.1,,1,,,,666.7,2000,18000,4,,0,40,2000,18000
1501,spetool,A01501,,SpeTool A01501 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,300,900,18000,2,,0,30,900,18000
2506,spetool,W02506,,SpeTool W02506 6mm Compression,end,6,0,12.7,0,0,2,38.1,,1,,,,1200,3600,14000,6,,0,40,3600,14000
4507,spetool,W04507,,SpeTool W04507 6mm DOWN CUT,end,6,0,12.7,0,0,2,38.1,,1,,,,1000,3000,14000,6,,0,40,3000,14000
4508,spetool,W04508,,SpeTool W04508 6mm UP CUT,end,6,0,12.7,0,0,2,38.1,,1,,,,1333.3,4000,14000,6,,0,40,4000,14000
4901,spetool,W04901,,SpeTool W04901 6mm UP CUT,end,6,0,12.7,0,0,2,38.1,,1,,,,1333.3,4000,14000,6,,0,40,4000,14000
2504,spetool,W02504,,SpeTool W02504 6mm Compression,end,6,0,12.7,0,0,2,38.1,,1,,,,1200,3600,14000,6,,0,40,3600,14000
2501,spetool,W02501,,SpeTool W02501 4mm Compression,end,4,0,12.7,0,0,2,38.1,,1,,,,800,2400,18000,4,,0,40,2400,18000
4501,spetool,W04501,,SpeTool W04501 4mm DOWN CUT,end,4,0,12.7,0,0,2,38.1,,1,,,,666,2000,18000,4,,0,40,2000,18000
4502,spetool,W04502,,SpeTool W04502 4mm UP CUT,end,4,0,12.7,0,0,2,38.1,,1,,,,1000,3000,18000,4,,0,40,3000,18000
4505,spetool,W04505,,SpeTool W04505 6mm DOWN CUT,end,6,0,12.7,0,0,2,38.1,,1,,,,1000,3000,14000,6,,0,40,3000,14000
4506,spetool,W04506,,SpeTool W04506 6mm UP CUT,end,6,0,12.7,0,0,2,38.1,,1,,,,1333.3,4000,14000,6,,0,40,4000,14000
4509,spetool,W04509,,SpeTool W04509 8mm DOWN CUT,end,8,0,12.7,0,0,2,38.1,,1,,,,1333.3,4000,12000,8,,0,40,4000,12000
4510,spetool,W04510,,SpeTool W04510 8mm UP CUT,end,8,0,12.7,0,0,2,38.1,,1,,,,1667,5000,12000,8,,0,40,5000,12000
4902,spetool,W04902,,SpeTool W04902 8mm UP CUT,end,8,0,12.7,0,0,2,38.1,,1,,,,1667,5000,12000,8,,0,40,5000,12000
2507,spetool,W02507,,SpeTool W02507 8mm Compression,end,8,0,12.7,0,0,2,38.1,,1,,,,1600,4800,12000,8,,0,40,4800,12000
2508,spetool,W02508,,SpeTool W02508 8mm Compression,end,8,0,12.7,0,0,2,38.1,,1,,,,1600,4800,12000,8,,0,40,4800,12000
4702,spetool,W04702,,SpeTool W04702 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,900,3600,18000,4,,0,40,3600,18000
4704,spetool,W04704,,SpeTool W04704 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,600,3600,16000,4,,0,40,3600,16000
4705,spetool,W04705,,SpeTool W04705 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,600,3600,16000,6,,0,40,3600,16000
4701,spetool,W04701,,SpeTool W04701 8mm,end,8,0,12.7,0,0,2,38.1,,1,,,,1600,4800,16000,6,,0,40,4800,16000
4703,spetool,W04703,,SpeTool W04703 8mm,end,8,0,12.7,0,0,2,38.1,,1,,,,1000,4200,12000,5,,0,40,4200,12000
3501,spetool,W03501,,SpeTool W03501 3.175mm,end,3.175,0,12.7,0,0,2,38.1,,1,,,,300,900,18000,3.175,,0,40,900,18000
3502,spetool,W03502,,SpeTool W03502 3.175mm,end,3.175,0,12.7,0,0,2,38.1,,1,,,,300,900,18000,3.175,,0,40,900,18000
3504,spetool,W03504,,SpeTool W03504 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,500,1500,14000,6,,0,40,1500,14000
3505,spetool,W03505,,SpeTool W03505 6mm ,end,6,0,12.7,0,0,2,38.1,,1,,,,500,1500,14000,6,,0,40,1500,14000
3503,spetool,W03503,,SpeTool W03503 6mm,end,6,0,12.7,0,0,2,38.1,,1,,,,500,1500,14000,6,,0,40,1500,14000
3506,spetool,W03506,,SpeTool W03506 8mm,end,8,0,12.7,0,0,2,38.1,,1,,,,500,1500,12000,8,,0,40,1500,12000
4801,spetool,W04801,,SpeTool W04801 6mm,ball,6,3,12.7,0,0,2,38.1,,1,,,,1333,4000,14000,6,,0,40,4000,14000
4802,spetool,W04802,,SpeTool W04802 8mm,ball,8,4,12.7,0,0,2,38.1,,1,,,,1667,5000,12000,8,,0,40,5000,12000
5005,spetool,W05005,,SpeTool W05005 35mm,end,35,0,12.7,0,0,2,38.1,,1,,,,1600,4800,18000,3,,0,80,4800,18000
5007,spetool,W05007,,SpeTool W05007 38.1mm,end,38.1,0,12.7,0,0,2,38.1,,1,,,,1600,4800,16000,3,,0,80,4800,16000
5503,spetool,W05503,,SpeTool W05503 38.1mm,end,38.1,0,12.7,0,0,2,38.1,,1,,,,1600,4800,16000,3,,0,60,4800,16000
5009,spetool,W05009,,SpeTool W05009 40mm,end,40,0,12.7,0,0,2,38.1,,1,,,,1300,3900,16000,4,,0,80,3900,16000
5501,spetool,W05501,,SpeTool W05501 26mm,end,26,0,12.7,0,0,2,38.1,,1,,,,1600,4800,20000,3,,0,80,4800,20000
5006,spetool,W05006,,SpeTool W05006 60mm,end,60,0,12.7,0,0,2,38.1,,1,,,,1100,3300,12000,4,,0,80,3300,12000
5008,spetool,W05008,,SpeTool W05008 45mm,end,45,0,12.7,0,0,2,38.1,,1,,,,1100,3300,15000,4,,0,80,3300,15000
5502,spetool,W05502,,SpeTool W05502 75mm,end,75,0,12.7,0,0,2,38.1,,1,,,,1100,3300,10000,4,,0,80,3300,10000
1,spetool,01,,SpeTool 60mm 4 FLUTES SPOILBOARD 60MM DIA x 12MM SHANK,end,60,0,12.7,0,0,2,38.1,,1,,,,1100,3300,12000,4,,0,80,3300,12000
6506,spetool,W06506,,SpeTool W06506 4mm,vee,4,0,12.7,0,60,2,38.1,,1,,,,1000,3000,18000,2,,0,10,3000,18000
6507,spetool,W06507,,SpeTool W06507 4mm,vee,4,0,12.7,0,90,2,38.1,,1,,,,1000,3000,18000,2,,0,10,3000,18000
6501,spetool,W06501,,SpeTool W06501 12mm,vee,12,0,12.7,0,60,2,38.1,,1,,,,600,1800,18000,6,,0,6.2,1800,18000
6502,spetool,W06502,,SpeTool W06502 12mm,vee,12,0,12.7,0,90,2,38.1,,1,,,,600,1800,18000,6,,0,6.2,1800,18000
6508,spetool,W06508,,SpeTool W06508 6mm,vee,6,0,12.7,0,60,2,38.1,,1,,,,1200,3600,15000,3,,0,10,3600,15000
6509,spetool,W06509,,SpeTool W06509 6mm,vee,6,0,12.7,0,90,2,38.1,,1,,,,1200,3600,15000,3,,0,10,3600,15000
6505,spetool,W06505,,SpeTool W06505 6mm,vee,6,0,12.7,0,30,2,38.1,,1,,,,700,2100,18000,0.2,,0,20,2100,18000
6503,spetool,W06503,,SpeTool W06503 12mm,vee,12,0,12.7,0,60,2,38.1,,1,,,,200,750,14000,1.25,,0,2,750,14000
6504,spetool,W06504,,SpeTool W06504 12mm,vee,12,0,12.7,0,90,2,38.1,,1,,,,300,950,14000,2,,0,2,950,14000
6510,spetool,W06510,,SpeTool W06510 26.55mm,vee,26.55,0,12.7,0,60,2,38.1,,1,,,,200,750,15000,6.35,,0,2.9,750,15000
